Category,Headline,Link
unidad-investigativa,Con asonada en el Bajo Cauca, 'clan del Golfo' patea ingreso a la 'paz total',https://www.eltiempo.com/unidad-investigativa/clan-del-golfo-con-asonada-en-el-bajo-cauca-patea-la-paz-total-749497
economia/sectores,César Gaviria critica decisiones de Petro en minería, petróleo e infraestructura,https://www.eltiempo.com/economia/sectores/cesar-gaviria-arremete-contra-las-decisiones-economicas-del-gobierno-749456
politica/gobierno,‘Hay una demanda por estabilidad, autoridad y certidumbre’: Alejandro Gaviria,https://www.eltiempo.com/politica/gobierno/alejandro-gaviria-habla-de-su-salida-del-ministerio-de-educacion-749476
mundo/medio-oriente,Medio millón participó el sábado en la mayor protesta de la historia de Israel,https://www.eltiempo.com/mundo/medio-oriente/israel-protestas-medio-millon-de-personas-salieron-a-las-calles-749484
economia/sectores,César Gaviria critica decisiones de Petro en minería, petróleo e infraestructura,https://www.eltiempo.com/economia/sectores/cesar-gaviria-arremete-contra-las-decisiones-economicas-del-gobierno-749456
unidad-investigativa,Las 11 exportadoras detrás de red de lavado de poderoso capo,https://www.eltiempo.com/unidad-investigativa/yimmi-sanchez-las-11-empresas-detras-de-red-de-lavado-de-la-mafia-749388
unidad-investigativa,Las sorpresas que se encontraron en la infiltración a la UNP,https://www.eltiempo.com/unidad-investigativa/unp-infiltrada-por-cartel-de-contratistas-mafia-y-corrupcion-749394
vida/religion,¿Renunciará el papa Francisco? Análisis a diez años de su pontificado,https://www.eltiempo.com/vida/religion/renunciara-el-papa-francisco-analisis-a-diez-anos-de-su-pontificado-749428
economia/sectores,Minhacienda se queda: ‘El Presidente me pidió continuar’,https://www.eltiempo.com/economia/sectores/minhacienda-aca-estare-salvo-que-se-decida-lo-contrario-749340
bogota,Dos horas dentro de una de las ollas de microtráfico más tenebrosas de Bogotá,https://www.eltiempo.com/bogota/dos-horas-dentro-de-una-de-las-ollas-mas-tenebrosas-de-bogota-749447
colombia/medellin,El crítico panorama que dejó al descubierto el paro minero en Antioquia,https://www.eltiempo.com/colombia/medellin/paro-minero-en-antioquia-el-critico-panorama-que-quedo-al-descubierto-749481
